node14.cluster | 97920 | 2020-02-05 10:29:50.973199 +0100 GMT | download_imputation | trigger command
node14.cluster | 97920 | 2020-02-05 10:29:51.295777 +0100 GMT |  | set common data
node14.cluster | 97920 | 2020-02-05 10:29:51.315677 +0100 GMT |  | begin scheduling targets
node14.cluster | 97920 | 2020-02-05 10:29:53.586178 +0100 GMT |  | sending common data
node14.cluster | 97920 | 2020-02-05 10:29:53.939072 +0100 GMT | download_imputation | trigger command
node14.cluster | 97920 | 2020-02-05 10:29:53.942541 +0100 GMT | download_imputation | target download_imputation
node13.cluster | 151229 | 2020-02-05 10:29:53.947643 +0100 GMT | download_imputation | build on an hpc worker
node14.cluster | 97920 | 2020-02-05 16:36:41.660957 +0100 GMT |  | Warning: Missing files for target download_imputation:
  analysis/QC/06_download_imputation
node14.cluster | 97920 | 2020-02-05 16:36:41.662735 +0100 GMT | download_imputation | store
node14.cluster | 97920 | 2020-02-05 16:36:42.039161 +0100 GMT | download_imputation | time  22004.549s (~6.11 hours) | 22008.1s (~6.11 hours)  (exec | total)
node14.cluster | 97920 | 2020-02-05 20:07:54.892785 +0100 GMT | run_post_imputation | trigger command
node14.cluster | 97920 | 2020-02-05 20:07:55.109519 +0100 GMT | run_post_imputation | target run_post_imputation
node14.cluster | 97920 | 2020-02-06 08:56:36.135831 +0100 GMT |  | end make()
node14.cluster | 97920 | 2020-02-06 09:52:38.981466 +0100 GMT |  | begin drake_config()
node14.cluster | 97920 | 2020-02-06 09:52:39.013916 +0100 GMT |  | cache /data/sgg2/jenny/projects/PSYMETAB/.drake
node14.cluster | 97920 | 2020-02-06 09:52:39.020230 +0100 GMT |  | analyze environment
node14.cluster | 97920 | 2020-02-06 09:52:39.069322 +0100 GMT |  | analyze imports
node14.cluster | 97920 | 2020-02-06 09:52:39.282392 +0100 GMT |  | get knitr hash
node14.cluster | 97920 | 2020-02-06 09:52:39.295467 +0100 GMT |  | analyze commands
node14.cluster | 97920 | 2020-02-06 09:52:39.352175 +0100 GMT |  | set knitr files
node14.cluster | 97920 | 2020-02-06 09:52:39.364493 +0100 GMT |  | create graph edges
node14.cluster | 97920 | 2020-02-06 09:52:39.378169 +0100 GMT |  | connect output files
node14.cluster | 97920 | 2020-02-06 09:52:39.380258 +0100 GMT | file analysis/QC/09_extract_typed | file_out
node14.cluster | 97920 | 2020-02-06 09:52:39.384472 +0100 GMT | file analysis/QC/08_plink_convert | file_out
node14.cluster | 97920 | 2020-02-06 09:52:39.386532 +0100 GMT | file analysis/QC/14_mafcheck | file_out
node14.cluster | 97920 | 2020-02-06 09:52:39.388752 +0100 GMT | file analysis/QC/12_ethnicity_admixture | file_out
node14.cluster | 97920 | 2020-02-06 09:52:39.390921 +0100 GMT | file analysis/QC/10_merge_imputed | file_out
node14.cluster | 97920 | 2020-02-06 09:52:39.393196 +0100 GMT | file analysis/QC/13_hwecheck | file_out
node14.cluster | 97920 | 2020-02-06 09:52:39.395419 +0100 GMT | file analysis/QC/11_relatedness | file_out
node14.cluster | 97920 | 2020-02-06 09:52:39.397583 +0100 GMT | file analysis/QC/06_download_imputation | file_out
node14.cluster | 97920 | 2020-02-06 09:52:39.399754 +0100 GMT | file analysis/QC/07_imputation_check | file_out
node14.cluster | 97920 | 2020-02-06 09:52:39.401873 +0100 GMT | file docs/generated_reports/CrossCohortReport.html | file_out
node14.cluster | 97920 | 2020-02-06 09:52:39.404086 +0100 GMT | file docs/generated_reports/07_imputation_check.html | file_out
node14.cluster | 97920 | 2020-02-06 09:52:39.406287 +0100 GMT | file analysis/QC/15_final_processing | file_out
node14.cluster | 97920 | 2020-02-06 09:52:39.418317 +0100 GMT |  | finalize graph edges
node14.cluster | 97920 | 2020-02-06 09:52:39.420256 +0100 GMT |  | create igraph
node14.cluster | 97920 | 2020-02-06 09:52:39.423114 +0100 GMT |  | trim neighborhoods
node14.cluster | 97920 | 2020-02-06 09:52:39.431088 +0100 GMT |  | add igraph attributes
node14.cluster | 97920 | 2020-02-06 09:52:39.434292 +0100 GMT |  | finalize igraph
node14.cluster | 97920 | 2020-02-06 09:52:39.446621 +0100 GMT |  | end drake_config()
node14.cluster | 97920 | 2020-02-06 09:52:39.448441 +0100 GMT |  | begin make()
node14.cluster | 97920 | 2020-02-06 09:52:39.769612 +0100 GMT | processx::run | import
node14.cluster | 97920 | 2020-02-06 09:52:39.786526 +0100 GMT | file code/post_imputation_qc.sh | import
node14.cluster | 97920 | 2020-02-06 09:52:39.805018 +0100 GMT | file code/qc/maf_check.R | import
node14.cluster | 97920 | 2020-02-06 09:52:39.824882 +0100 GMT | file code/qc/ethnicity_check.R | import
node14.cluster | 97920 | 2020-02-06 09:52:39.844502 +0100 GMT | file code/qc/relatedness_filter.R | import
node14.cluster | 97920 | 2020-02-06 09:52:39.863205 +0100 GMT | file code/qc/update_pvar.R | import
node14.cluster | 97920 | 2020-02-06 09:52:39.882886 +0100 GMT | file code/download_imputation.sh | import
node14.cluster | 97920 | 2020-02-06 09:52:39.902578 +0100 GMT | file code/check_imputation.sh | import
node14.cluster | 97920 | 2020-02-06 09:52:39.921765 +0100 GMT | file code/final_processing.sh | import
node14.cluster | 97920 | 2020-02-06 09:52:39.953649 +0100 GMT |  | begin outdated()
node14.cluster | 97920 | 2020-02-06 09:52:39.965348 +0100 GMT |  | find more outdated targets
node14.cluster | 97920 | 2020-02-06 09:52:39.980204 +0100 GMT | download_imputation | trigger file
node14.cluster | 97920 | 2020-02-06 09:52:39.981822 +0100 GMT |  | find downstream outdated targets
node14.cluster | 97920 | 2020-02-06 09:52:39.992286 +0100 GMT |  | end outdated()
node14.cluster | 97920 | 2020-02-06 09:52:39.993821 +0100 GMT |  | isolate oudated targets
node14.cluster | 97920 | 2020-02-06 09:52:39.997778 +0100 GMT |  | construct priority queue
node14.cluster | 97920 | 2020-02-06 09:52:40.009588 +0100 GMT | download_imputation | trigger file
node14.cluster | 97920 | 2020-02-06 09:52:40.225932 +0100 GMT |  | set common data
node14.cluster | 97920 | 2020-02-06 09:52:40.246921 +0100 GMT |  | begin scheduling targets
node14.cluster | 97920 | 2020-02-06 09:52:42.420385 +0100 GMT |  | sending common data
node14.cluster | 97920 | 2020-02-06 09:52:42.985236 +0100 GMT | download_imputation | trigger file
node14.cluster | 97920 | 2020-02-06 09:52:42.991851 +0100 GMT | download_imputation | target download_imputation
node13.cluster | 153622 | 2020-02-06 09:52:43.003112 +0100 GMT | download_imputation | build on an hpc worker
node14.cluster | 97920 | 2020-02-06 10:06:41.363173 +0100 GMT |  | end make()
node14.cluster | 97920 | 2020-02-06 10:07:58.321175 +0100 GMT |  | begin drake_config()
node14.cluster | 97920 | 2020-02-06 10:07:58.347211 +0100 GMT |  | cache /data/sgg2/jenny/projects/PSYMETAB/.drake
node14.cluster | 97920 | 2020-02-06 10:07:58.352168 +0100 GMT |  | analyze environment
node14.cluster | 97920 | 2020-02-06 10:07:58.398390 +0100 GMT |  | get knitr hash
node14.cluster | 97920 | 2020-02-06 10:07:58.415087 +0100 GMT |  | set knitr files
node14.cluster | 97920 | 2020-02-06 10:07:58.424396 +0100 GMT |  | create graph edges
node14.cluster | 97920 | 2020-02-06 10:07:58.434672 +0100 GMT |  | connect output files
node14.cluster | 97920 | 2020-02-06 10:07:58.436114 +0100 GMT | file analysis/QC/09_extract_typed | file_out
node14.cluster | 97920 | 2020-02-06 10:07:58.438261 +0100 GMT | file analysis/QC/08_plink_convert | file_out
node14.cluster | 97920 | 2020-02-06 10:07:58.440011 +0100 GMT | file analysis/QC/14_mafcheck | file_out
node14.cluster | 97920 | 2020-02-06 10:07:58.441694 +0100 GMT | file analysis/QC/12_ethnicity_admixture | file_out
node14.cluster | 97920 | 2020-02-06 10:07:58.443372 +0100 GMT | file analysis/QC/10_merge_imputed | file_out
node14.cluster | 97920 | 2020-02-06 10:07:58.445070 +0100 GMT | file analysis/QC/13_hwecheck | file_out
node14.cluster | 97920 | 2020-02-06 10:07:58.446742 +0100 GMT | file analysis/QC/11_relatedness | file_out
node14.cluster | 97920 | 2020-02-06 10:07:58.448386 +0100 GMT | file analysis/QC/06_download_imputation | file_out
node14.cluster | 97920 | 2020-02-06 10:07:58.450014 +0100 GMT | file analysis/QC/07_imputation_check | file_out
node14.cluster | 97920 | 2020-02-06 10:07:58.451668 +0100 GMT | file docs/generated_reports/CrossCohortReport.html | file_out
node14.cluster | 97920 | 2020-02-06 10:07:58.453298 +0100 GMT | file docs/generated_reports/07_imputation_check.html | file_out
node14.cluster | 97920 | 2020-02-06 10:07:58.454993 +0100 GMT | file analysis/QC/15_final_processing | file_out
node14.cluster | 97920 | 2020-02-06 10:07:58.465344 +0100 GMT |  | end drake_config()
node14.cluster | 97920 | 2020-02-06 10:07:58.466619 +0100 GMT |  | begin make()
node14.cluster | 97920 | 2020-02-06 10:07:58.633098 +0100 GMT | processx::run | import
node14.cluster | 97920 | 2020-02-06 10:07:58.659373 +0100 GMT | file code/post_imputation_qc.sh | import
node14.cluster | 97920 | 2020-02-06 10:07:58.673476 +0100 GMT | file code/qc/maf_check.R | import
node14.cluster | 97920 | 2020-02-06 10:07:58.686834 +0100 GMT | file code/qc/ethnicity_check.R | import
node14.cluster | 97920 | 2020-02-06 10:07:58.700515 +0100 GMT | file code/qc/relatedness_filter.R | import
node14.cluster | 97920 | 2020-02-06 10:07:58.818662 +0100 GMT | file code/qc/update_pvar.R | import
node14.cluster | 97920 | 2020-02-06 10:07:58.839662 +0100 GMT | file code/download_imputation.sh | import
node14.cluster | 97920 | 2020-02-06 10:07:58.860981 +0100 GMT | file code/check_imputation.sh | import
node14.cluster | 97920 | 2020-02-06 10:07:58.879456 +0100 GMT | file code/final_processing.sh | import
node14.cluster | 97920 | 2020-02-06 10:07:58.897374 +0100 GMT |  | begin outdated()
node14.cluster | 97920 | 2020-02-06 10:07:58.909924 +0100 GMT |  | find more outdated targets
node14.cluster | 97920 | 2020-02-06 10:07:58.923399 +0100 GMT | download_imputation | trigger file
node14.cluster | 97920 | 2020-02-06 10:07:58.924972 +0100 GMT |  | find downstream outdated targets
node14.cluster | 97920 | 2020-02-06 10:07:58.936027 +0100 GMT |  | end outdated()
node14.cluster | 97920 | 2020-02-06 10:07:58.937382 +0100 GMT |  | isolate oudated targets
node14.cluster | 97920 | 2020-02-06 10:07:58.940980 +0100 GMT |  | construct priority queue
node14.cluster | 97920 | 2020-02-06 10:07:58.952667 +0100 GMT | download_imputation | trigger file
node14.cluster | 97920 | 2020-02-06 10:07:59.135937 +0100 GMT |  | set common data
node14.cluster | 97920 | 2020-02-06 10:07:59.153636 +0100 GMT |  | begin scheduling targets
node14.cluster | 97920 | 2020-02-06 10:08:00.465117 +0100 GMT |  | sending common data
node14.cluster | 97920 | 2020-02-06 10:08:00.847726 +0100 GMT | download_imputation | trigger file
node14.cluster | 97920 | 2020-02-06 10:08:00.853604 +0100 GMT | download_imputation | target download_imputation
node13.cluster | 153797 | 2020-02-06 10:08:00.865879 +0100 GMT | download_imputation | build on an hpc worker
node14.cluster | 97920 | 2020-02-06 10:09:29.425632 +0100 GMT |  | end make()
node14.cluster | 97920 | 2020-02-06 10:09:42.769993 +0100 GMT |  | begin drake_config()
node14.cluster | 97920 | 2020-02-06 10:09:42.792225 +0100 GMT |  | cache /data/sgg2/jenny/projects/PSYMETAB/.drake
node14.cluster | 97920 | 2020-02-06 10:09:42.797157 +0100 GMT |  | analyze environment
node14.cluster | 97920 | 2020-02-06 10:09:42.841936 +0100 GMT |  | get knitr hash
node14.cluster | 97920 | 2020-02-06 10:09:42.857711 +0100 GMT |  | set knitr files
node14.cluster | 97920 | 2020-02-06 10:09:42.873193 +0100 GMT |  | end drake_config()
node14.cluster | 97920 | 2020-02-06 10:09:42.874464 +0100 GMT |  | begin make()
node14.cluster | 97920 | 2020-02-06 10:09:43.018005 +0100 GMT | processx::run | import
node14.cluster | 97920 | 2020-02-06 10:09:43.028566 +0100 GMT | file code/post_imputation_qc.sh | import
node14.cluster | 97920 | 2020-02-06 10:09:43.039767 +0100 GMT | file code/qc/maf_check.R | import
node14.cluster | 97920 | 2020-02-06 10:09:43.050677 +0100 GMT | file code/qc/ethnicity_check.R | import
node14.cluster | 97920 | 2020-02-06 10:09:43.061987 +0100 GMT | file code/qc/relatedness_filter.R | import
node14.cluster | 97920 | 2020-02-06 10:09:43.073106 +0100 GMT | file code/qc/update_pvar.R | import
node14.cluster | 97920 | 2020-02-06 10:09:43.084133 +0100 GMT | file code/download_imputation.sh | import
node14.cluster | 97920 | 2020-02-06 10:09:43.096264 +0100 GMT | file code/check_imputation.sh | import
node14.cluster | 97920 | 2020-02-06 10:09:43.106994 +0100 GMT | file code/final_processing.sh | import
node14.cluster | 97920 | 2020-02-06 10:09:43.117480 +0100 GMT |  | begin outdated()
node14.cluster | 97920 | 2020-02-06 10:09:43.124908 +0100 GMT |  | find more outdated targets
node14.cluster | 97920 | 2020-02-06 10:09:43.132424 +0100 GMT | download_imputation | trigger file
node14.cluster | 97920 | 2020-02-06 10:09:43.133362 +0100 GMT |  | find downstream outdated targets
node14.cluster | 97920 | 2020-02-06 10:09:43.140290 +0100 GMT |  | end outdated()
node14.cluster | 97920 | 2020-02-06 10:09:43.141297 +0100 GMT |  | isolate oudated targets
node14.cluster | 97920 | 2020-02-06 10:09:43.143609 +0100 GMT |  | construct priority queue
node14.cluster | 97920 | 2020-02-06 10:09:43.150984 +0100 GMT | download_imputation | trigger file
node14.cluster | 97920 | 2020-02-06 10:09:43.295161 +0100 GMT |  | set common data
node14.cluster | 97920 | 2020-02-06 10:09:43.309510 +0100 GMT |  | begin scheduling targets
node14.cluster | 97920 | 2020-02-06 10:09:44.618443 +0100 GMT |  | sending common data
node14.cluster | 97920 | 2020-02-06 10:09:44.943320 +0100 GMT | download_imputation | trigger file
node14.cluster | 97920 | 2020-02-06 10:09:44.949569 +0100 GMT | download_imputation | target download_imputation
node13.cluster | 153936 | 2020-02-06 10:09:44.958742 +0100 GMT | download_imputation | build on an hpc worker
