node13.cluster | 112198 | 2019-12-02 21:39:03.689989 +0100 GMT | SGG_generic | connect
node13.cluster | 112198 | 2019-12-02 21:39:03.691692 +0100 GMT | find_dups | connect
node13.cluster | 112198 | 2019-12-02 21:39:03.693376 +0100 GMT | qc_pheno_file | connect
node13.cluster | 112198 | 2019-12-02 21:39:03.695057 +0100 GMT | run_pre_imputation | connect
node13.cluster | 112198 | 2019-12-02 21:39:03.697871 +0100 GMT |  | connect output files
node13.cluster | 112198 | 2019-12-02 21:39:03.708609 +0100 GMT |  | finalize graph edges
node13.cluster | 112198 | 2019-12-02 21:39:03.710479 +0100 GMT |  | create igraph
node13.cluster | 112198 | 2019-12-02 21:39:03.713224 +0100 GMT |  | trim neighborhoods
node13.cluster | 112198 | 2019-12-02 21:39:03.719893 +0100 GMT |  | add igraph attributes
node13.cluster | 112198 | 2019-12-02 21:39:03.722756 +0100 GMT |  | finalize igraph
node13.cluster | 112198 | 2019-12-02 21:39:03.857695 +0100 GMT |  | end drake_config()
node13.cluster | 112198 | 2019-12-02 21:39:03.859727 +0100 GMT |  | begin make()
node13.cluster | 112198 | 2019-12-02 21:39:04.017427 +0100 GMT | post_imputation_script | import
node13.cluster | 112198 | 2019-12-02 21:39:04.035548 +0100 GMT | processx::run | import
node13.cluster | 112198 | 2019-12-02 21:39:04.050827 +0100 GMT |  | begin outdated()
node13.cluster | 112198 | 2019-12-02 21:39:04.053762 +0100 GMT |  | find more outdated targets
node13.cluster | 112198 | 2019-12-02 21:39:04.064352 +0100 GMT | run_pre_imputation | trigger command
node13.cluster | 112198 | 2019-12-02 21:39:04.066114 +0100 GMT |  | find downstream outdated targets
node13.cluster | 112198 | 2019-12-02 21:39:04.070192 +0100 GMT |  | end outdated()
node13.cluster | 112198 | 2019-12-02 21:39:04.071731 +0100 GMT |  | isolate oudated targets
node13.cluster | 112198 | 2019-12-02 21:39:04.075520 +0100 GMT |  | construct priority queue
node13.cluster | 112198 | 2019-12-02 21:39:04.085002 +0100 GMT | run_pre_imputation | trigger command
node13.cluster | 112198 | 2019-12-02 21:39:04.343267 +0100 GMT |  | set common data
node13.cluster | 112198 | 2019-12-02 21:39:04.351399 +0100 GMT |  | begin scheduling targets
node13.cluster | 112198 | 2019-12-02 21:39:06.018275 +0100 GMT |  | sending common data
node13.cluster | 112198 | 2019-12-02 21:39:06.927692 +0100 GMT | run_pre_imputation | trigger command
node13.cluster | 112198 | 2019-12-02 21:39:06.932708 +0100 GMT | run_pre_imputation | target run_pre_imputation
node15.cluster | 29520 | 2019-12-02 21:39:06.941122 +0100 GMT | run_pre_imputation | build on an hpc worker
